cited_datapaper_doi,used_paper_count
10.1016/J.DIB.2019.104485,3
10.1016/J.DIB.2019.104431,3
10.1016/J.DIB.2019.104340,3
10.1016/J.DIB.2019.104206,3
10.1016/J.DIB.2019.104141,3
10.1016/J.DIB.2019.103875,3
10.1016/J.DIB.2018.12.047,3
10.1016/J.DIB.2018.11.126,3
10.1016/J.DIB.2018.10.121,3
10.1016/J.DIB.2018.10.012,3
10.1016/J.DIB.2018.07.043,3
10.1016/J.DIB.2018.05.008,3
10.1016/J.DIB.2018.02.013,3
10.1016/J.DIB.2017.11.002,3
10.1016/J.DIB.2017.10.047,3
10.1016/J.DIB.2017.10.006,3
10.1016/J.DIB.2017.09.019,3
10.1016/J.DIB.2017.07.052,3
10.1016/J.DIB.2017.04.024,3
10.1016/J.DIB.2017.03.042,3
10.1016/J.DIB.2017.03.035,3
10.1016/J.DIB.2016.04.055,3
10.1016/J.DIB.2015.10.030,3
10.1016/J.DIB.2015.08.001,3
10.1016/J.CDC.2020.100411,3
10.1016/J.CDC.2019.100311,3
10.1016/J.CDC.2019.100187,3
10.1002/HUMU.24053,3
10.1002/GDJ3.95,3
10.1002/GDJ3.92,3
10.1002/GDJ3.32,3
10.1002/GDJ3.23,3
10.1002/GDJ3.107,3
10.1002/ECY.3344,3
10.1002/ECY.3326,3
10.1002/ECY.2944,3
10.5334/JOAD.57,2
10.5194/ESSD-15-963-2023,2
10.5194/ESSD-15-497-2023,2
10.5194/ESSD-15-3051-2023,2
10.5194/ESSD-14-5543-2022,2
10.5194/ESSD-14-517-2022,2
10.5194/ESSD-14-3757-2022,2
10.5194/ESSD-14-325-2022,2
10.5194/ESSD-14-2021-2022,2
10.5194/ESSD-14-1581-2022,2
10.5194/ESSD-14-143-2022,2
10.5194/ESSD-13-5663-2021,2
10.5194/ESSD-13-5213-2021,2
10.5194/ESSD-13-5127-2021,2
10.5194/ESSD-13-4711-2021,2
10.5194/ESSD-13-4207-2021,2
10.5194/ESSD-13-4191-2021,2
10.5194/ESSD-13-4175-2021,2
10.5194/ESSD-13-3951-2021,2
10.5194/ESSD-13-3577-2021,2
10.5194/ESSD-13-3491-2021,2
10.5194/ESSD-13-3115-2021,2
10.5194/ESSD-13-2801-2021,2
10.5194/ESSD-13-2573-2021,2
10.3389/FPSYG.2021.628707,2
10.3389/FGENE.2023.1100819,2
10.3389/FGENE.2022.873711,2
10.3389/FGENE.2021.619056,2
10.3389/FGENE.2020.590282,2
10.3389/FGENE.2020.565146,2
10.1186/S40192-016-0056-1,2
10.1186/S40192-015-0040-1,2
10.1177/8755293020970979,2
10.1111/JBI.14392,2
10.1111/GEB.13490,2
10.1111/GEB.13369,2
10.1038/S41597-023-02383-W,2
10.1038/S41597-023-02348-Z,2
10.1038/S41597-023-02303-Y,2
10.1038/S41597-023-02274-0,2
10.1038/S41597-023-02236-6,2
10.1038/S41597-023-01960-3,2
10.1038/S41597-022-01923-0,2
10.1038/S41597-022-01837-X,2
10.1038/S41597-022-01830-4,2
